Edad,Absoluto,Categoría,Hombres,Mujeres,Mujeres-Hombres
0,9999,Más hombres,165326,155327,-9999
1,8036,Más hombres,174350,166314,-8036
2,9948,Más hombres,185026,175078,-9948
3,9737,Más hombres,195366,185629,-9737
4,11884,Más hombres,209618,197734,-11884
5,11837,Más hombres,220540,208703,-11837
6,11930,Más hombres,226563,214633,-11930
7,13811,Más hombres,231613,217802,-13811
8,12128,Más hombres,228719,216591,-12128
9,14133,Más hombres,242940,228807,-14133
10,14447,Más hombres,249215,234768,-14447
11,14019,Más hombres,254547,240528,-14019
12,15813,Más hombres,259753,243940,-15813
13,15676,Más hombres,271170,255494,-15676
14,14696,Más hombres,261327,246631,-14696
15,14223,Más hombres,260343,246120,-14223
16,13173,Más hombres,254259,241086,-13173
17,16111,Más hombres,255327,239216,-16111
18,15325,Más hombres,254167,238842,-15325
19,17471,Más hombres,249855,232384,-17471
20,15911,Más hombres,249898,233987,-15911
21,17328,Más hombres,253918,236590,-17328
22,12467,Más hombres,247744,235277,-12467
23,13582,Más hombres,243624,230042,-13582
24,10407,Más hombres,247680,237273,-10407
25,8987,Más hombres,246483,237496,-8987
26,8949,Más hombres,249671,240722,-8949
27,8066,Más hombres,253990,245924,-8066
28,8047,Más hombres,262950,254903,-8047
29,6552,Más hombres,270026,263474,-6552
30,7054,Más hombres,269799,262745,-7054
31,4594,Más hombres,272761,268167,-4594
32,2456,Más hombres,276294,273838,-2456
33,1266,Más hombres,280925,279659,-1266
34,735,Más hombres,284241,283506,-735
35,1994,Más mujeres,289965,291959,1994
36,1527,Más mujeres,299735,301262,1527
37,1386,Más mujeres,311323,312709,1386
38,451,Más mujeres,322098,322549,451
39,710,Más hombres,340719,340009,-710
40,3204,Más hombres,356252,353048,-3204
41,4624,Más hombres,373930,369306,-4624
42,4856,Más hombres,383994,379138,-4856
43,7670,Más hombres,401616,393946,-7670
44,10843,Más hombres,408004,397161,-10843
45,8670,Más hombres,413517,404847,-8670
46,10504,Más hombres,410926,400422,-10504
47,8159,Más hombres,406481,398322,-8159
48,8285,Más hombres,395916,387631,-8285
49,6414,Más hombres,392767,386353,-6414
50,4837,Más hombres,385119,380282,-4837
51,3352,Más hombres,378727,375375,-3352
52,170,Más mujeres,371956,372126,170
53,2619,Más mujeres,367014,369633,2619
54,5713,Más mujeres,366867,372580,5713
55,5842,Más mujeres,357020,362862,5842
56,9761,Más mujeres,351435,361196,9761
57,11603,Más mujeres,354221,365824,11603
58,11705,Más mujeres,335528,347233,11705
59,14386,Más mujeres,321665,336051,14386
60,15997,Más mujeres,312216,328213,15997
61,17874,Más mujeres,311027,328901,17874
62,18347,Más mujeres,300735,319082,18347
63,20188,Más mujeres,291306,311494,20188
64,22363,Más mujeres,281598,303961,22363
65,22925,Más mujeres,260206,283131,22925
66,23996,Más mujeres,250345,274341,23996
67,25925,Más mujeres,235740,261665,25925
68,25578,Más mujeres,234480,260058,25578
69,25773,Más mujeres,231131,256904,25773
70,27913,Más mujeres,213077,240990,27913
71,29378,Más mujeres,204408,233786,29378
72,34789,Más mujeres,207692,242481,34789
73,38590,Más mujeres,212928,251518,38590
74,37351,Más mujeres,190698,228049,37351
75,39476,Más mujeres,177374,216850,39476
76,43733,Más mujeres,180034,223767,43733
77,43514,Más mujeres,166403,209917,43514
78,45331,Más mujeres,158563,203894,45331
79,40283,Más mujeres,131907,172190,40283
80,39282,Más mujeres,116522,155804,39282
81,52581,Más mujeres,134763,187344,52581
82,39120,Más mujeres,82686,121806,39120
83,44696,Más mujeres,88543,133239,44696
84,51607,Más mujeres,92236,143843,51607
85,58907,Más mujeres,91577,150484,58907
86,55556,Más mujeres,81547,137103,55556
87,54611,Más mujeres,72238,126849,54611
88,54174,Más mujeres,64311,118485,54174
89,51217,Más mujeres,55367,106584,51217
90,44608,Más mujeres,44435,89043,44608
91,42438,Más mujeres,35884,78322,42438
92,35634,Más mujeres,27221,62855,35634
93,30532,Más mujeres,21069,51601,30532
94,24399,Más mujeres,14713,39112,24399
95,19913,Más mujeres,10873,30786,19913
96,15341,Más mujeres,7367,22708,15341
97,11459,Más mujeres,5201,16660,11459
98,8147,Más mujeres,3509,11656,8147
99,6006,Más mujeres,2246,8252,6006
100 y +,10875,Más mujeres,4382,15257,10875
,,,,,
